Fichier Localisé Social et Fiscal (FiLoSoFi) - Année 2013;;;;;;;;;;;;;;;;;;;;;;;;;;;
France métropolitaine - Communes ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mise en ligne le 10/10/2016       Découpage géographique au 01/01/2014;;;;;;;;;;;;;;;;;;;;;;;;;;;
©Insee       Sources : Insee-DGFIP-Cnaf-Cnav-CCMSA, Fichier localisé social et fiscal.;;;;;;;;;;;;;;;;;;;;;;;;;;;
Code géographique;Libellé géographique;Nombre de ménages fiscaux;Nombre de personnes dans les ménages fiscaux;Médiane du niveau vie;Part des ménages fiscaux imposés;Taux de pauvreté-Ensemble;Taux de pauvreté-moins de 30 ans;Taux de pauvreté-30 à 39 ans ;Taux de pauvreté-40 à 49 ans;Taux de pauvreté-50 à 59 ans;Taux de pauvreté-60 à 74 ans;Taux de pauvreté-75 ans ou plus;Taux de pauvreté-propriétaires;Taux de pauvreté-locataires;Part des revenus d'activité;dont part des salaires, traitements ou chômage;dont part des revenus d'activités non salariées;Part des pensions, retraites et rentes;Part des revenus du patrimoine et autres revenus;Part de l'ensemble des prestations sociales;dont part des prestations familiales;dont part des minima sociaux;dont part des prestations logement;Part des impôts;Rapport inter-décile 9e décile/1er decile;1er décile du niveau de vie;9e décile du niveau de vie
CODGEO;LIBGEO;NBMENFISC13;NBPERSMENFISC13;MED13;PIMP13;TP6013;TP60AGE113;TP60AGE213;TP60AGE313;TP60AGE413;TP60AGE513;TP60AGE613;TP60TOL113;TP60TOL213;PRA13;PTSAC13;PBEN13;PPEN13;PPAT13;PPSOC13;PPFAM13;PPMINI13;PPLOGT13;PIMPOT13;RD13;D113;D913
01165;Francheleins;535;1546,5;22155,2;;;;;;;;;;;;;;;;;;;;;;;
01166;Frans;811;2243,5;23922,7;75,6;;;;;;;;;;81,6;77,1;4,5;22,3;10,7;2,8;1,9;0,4;0,5;-17,4;2,4;15808,0;38259,6
01167;Garnerans;251;674,0;22442,6;;;;;;;;;;;;;;;;;;;;;;;
01169;Genouilleux;215;613,5;22981,3;;;;;;;;;;;;;;;;;;;;;;;
01170;Béard-Géovreissiat;346;1032,0;20851,9;;;;;;;;;;;;;;;;;;;;;;;
01171;Géovreisset;319;927,0;21682,1;;;;;;;;;;;;;;;;;;;;;;;
01172;Germagnat;67;160,0;18463,0;;;;;;;;;;;;;;;;;;;;;;;
01173;Gex;4376;10315,5;29909,5;62,0;11,1;;10,3;12,2;13,0;;;7,3;15,3;96,2;93,6;2,6;11,9;8,1;1,9;0,9;0,4;0,5;-18,1;5,6;11641,7;65154,0
01174;Giron;71;172,0;20598,1;;;;;;;;;;;;;;;;;;;;;;;
01175;Gorrevod;328;837,0;19838,1;;;;;;;;;;;;;;;;;;;;;;;
01176;Le Grand-Abergement;53;113,0;19617,1;;;;;;;;;;;;;;;;;;;;;;;
01177;Grand-Corent;77;180,0;22120,4;;;;;;;;;;;;;;;;;;;;;;;
01179;Grièges;793;1942,5;21098,1;;;;;;;;;;;;;;;;;;;;;;;
01180;Grilly;275;703,0;37626,7;;;;;;;;;;;;;;;;;;;;;;;
01181;Groissiat;423;1214,5;22370,0;;;;;;;;;;;;;;;;;;;;;;;
01182;Groslée;141;324,0;19426,7;;;;;;;;;;;;;;;;;;;;;;;
01183;Guéreins;524;1423,5;22699,4;;;;;;;;;;;;;;;;;;;;;;;
01184;Hautecourt-Romanèche;347;807,5;20518,8;;;;;;;;;;;;;;;;;;;;;;;
01185;Hauteville-Lompnes;1516;2986,0;20198,1;58,0;10,5;;;;;;;;18,6;65,5;59,5;6,0;34,8;9,8;5,1;1,7;1,7;1,7;-15,2;2,9;11786,7;33596,1
01186;Hostiaz;;;;;;;;;;;;;;;;;;;;;;;;;;
01187;Hotonnes;127;298,0;19554,3;;;;;;;;;;;;;;;;;;;;;;;
01188;Illiat;221;628,5;21337,2;;;;;;;;;;;;;;;;;;;;;;;
01189;Injoux-Génissiat;437;1130,5;24640,0;;;;;;;;;;;;;;;;;;;;;;;
01190;Innimond;;;;;;;;;;;;;;;;;;;;;;;;;;
01191;Izenave;72;172,0;18076,2;;;;;;;;;;;;;;;;;;;;;;;
01192;Izernore;903;2356,5;20589,0;63,2;10,2;;;;;;;;;81,4;78,5;2,9;20,0;8,9;4,7;2,9;0,6;1,2;-15,0;2,6;12075,4;31860,4
01193;Izieu;91;205,0;21037,2;;;;;;;;;;;;;;;;;;;;;;;
01194;Jassans-Riottier;2434;6033,0;21018,5;61,1;10,2;;;12,8;;;;;20,2;75,1;71,3;3,8;26,7;9,0;4,7;2,5;0,9;1,3;-15,5;2,9;12046,2;34687,1
01195;Jasseron;638;1650,0;22651,9;;;;;;;;;;;;;;;;;;;;;;;
01196;Jayat;430;1111,5;20743,3;;;;;;;;;;;;;;;;;;;;;;;
01197;Journans;140;343,0;23871,6;;;;;;;;;;;;;;;;;;;;;;;
01198;Joyeux;96;264,0;21715,0;;;;;;;;;;;;;;;;;;;;;;;
01199;Jujurieux;864;1994,0;19591,0;;;;;;;;;;;;;;;;;;;;;;;
01200;Labalme;76;198,5;18411,0;;;;;;;;;;;;;;;;;;;;;;;
01202;Lagnieu;3017;7054,0;20407,6;60,0;9,2;;;;;;;;18,1;72,6;68,5;4,1;28,0;10,2;4,7;2,5;1,0;1,2;-15,5;2,8;12331,7;34827,5
